Date,Sytem Peak Demand (MW)
2001-01,761
2001-02,747
2001-03,755
2001-04,794
2001-05,777
2001-06,773
2001-07,780
2001-08,778
2001-09,826
2001-10,798
2001-11,799
2001-12,813
2002-01,781
2002-02,760
2002-03,765
2002-04,826
2002-05,842
2002-06,818
2002-07,803
2002-08,793
2002-09,790
2002-10,780
2002-11,790
2002-12,842
2003-01,797
2003-02,792
2003-03,822
2003-04,828
2003-05,837
2003-06,858
2003-07,817
2003-08,832
2003-09,834
2003-10,857
2003-11,897
2003-12,924
2004-01,866
2004-02,839
2004-03,878
2004-04,889
2004-05,896
2004-06,857
2004-07,880
2004-08,889
2004-09,894
2004-10,904
2004-11,952
2004-12,955
2005-01,890
2005-02,892
2005-03,899
2005-04,916
2005-05,928
2005-06,926
2005-07,931
2005-08,919
2005-09,911
2005-10,917
2005-11,943
2005-12,967
2006-01,906
2006-02,929
2006-03,949
2006-04,964
2006-05,968
2006-06,961
2006-07,977
2006-08,951
2006-09,976
2006-10,967
2006-11,984
2006-12,997
2007-01,946
2007-02,969
2007-03,972
2007-04,"1,007"
2007-05,"1,015"
2007-06,"1,078"
2007-07,"1,090"
2007-08,"1,100"
2007-09,"1,094"
2007-10,"1,088"
2007-11,"1,101"
2007-12,"1,102"
2008-01,"1,067"
2008-02,"1,069"
2008-03,"1,092"
2008-04,"1,112"
2008-05,"1,090"
2008-06,"1,089"
2008-07,"1,105"
2008-08,"1,127"
2008-09,"1,128"
2008-10,"1,174"
2008-11,"1,176"
2008-12,"1,165"
2009-01,"1,122"
2009-02,"1,159"
2009-03,"1,166"
2009-04,"1,193"
2009-05,"1,204"
2009-06,"1,204"
2009-07,"1,201"
2009-08,"1,214"
2009-09,"1,206"
2009-10,"1,215"
2009-11,"1,241"
2009-12,"1,231"
2010-01,"1,219"
2010-02,"1,199"
2010-03,"1,254"
2010-04,"1,308"
2010-05,"1,364"
2010-06,"1,344"
2010-07,"1,323"
2010-08,"1,310"
2010-09,"1,341"
2010-10,"1,333"
2010-11,"1,402"
2010-12,"1,431"
2011-01,"1,324"
2011-02,"1,356"
2011-03,"1,370"
2011-04,"1,431"
2011-05,"1,405"
2011-06,"1,399"
2011-07,"1,398"
2011-08,"1,415"
2011-09,"1,414"
2011-10,"1,435"
2011-11,"1,462"
2011-12,"1,481"
2012-01,"1,391"
2012-02,"1,386"
2012-03,"1,370"
2012-04,"1,447"
2012-05,"1,464"
2012-06,"1,449"
2012-07,"1,440"
2012-08,"1,480"
2012-09,"1,456"
2012-10,"1,489"
2012-11,"1,502"
2012-12,"1,551"
2013-01,"1,463"
2013-02,"1,446"
2013-03,"1,528"
2013-04,"1,548"
2013-05,"1,572"
2013-06,"1,555"
2013-07,"1,543"
2013-08,"1,207"
2013-09,"1,547"
2013-10,"1,520"
2013-11,"1,518"
2013-12,"1,350"
2014-01,"1,331"
2014-02,"1,362"
2014-03,"1,411"
2014-04,"1,499"
2014-05,"1,606"
2014-06,"1,636"
2014-07,"1,511"
2014-08,"1,579"
2014-09,"1,528"
2014-10,"1,517"
2014-11,"1,610"
2014-12,"1,526"
2015-01,"1,476"
2015-02,"1,479"
2015-03,"1,528"
2015-04,"1,630"
2015-05,"1,618"
2015-06,"1,562"
2015-07,"1,584"
2015-08,"1,596"
2015-09,"1,625"
2015-10,"1,705"
2015-11,"1,768"
2015-12,"1,727"
2016-01,"1,693"
2016-02,"1,669"
2016-03,"1,749"
2016-04,"1,846"
2016-05,"1,893"
2016-06,"1,831"
2016-07,"1,819"
2016-08,"1,825"
2016-09,"1,817"
2016-10,"1,823"
2016-11,"1,838"
2016-12,"1,859"
2017-01,"1,804"
2017-02,"1,747"
2017-03,"1,829"
2017-04,"1,914"
2017-05,"1,933"
2017-06,"1,935"
2017-07,"1,869"
2017-08,"1,965"
2017-09,"1,936"
2017-10,"1,953"
2017-11,"1,975"
2017-12,"1,957"
2018-01,"1,892"
2018-02,"1,913"
2018-03,"1,956"
2018-04,"2,044"
2018-05,"2,053"
2018-06,"2,010"
2018-07,"1,972"
2018-08,"2,015"
2018-09,"1,954"
2018-10,"2,026"
2018-11,"1,980"
2018-12,"2,020"
2019-01,"1,873"
2019-02,"1,919"
2019-03,"1,956"
2019-04,"2,116"
2019-05,"2,224"
2019-06,"2,220"
2019-07,"2,129"
2019-08,"2,148"
2019-09,"2,164"
2019-10,"2,224"
2019-11,"2,168"
2019-12,"2,151"
2020-01,"2,066"
2020-02,"2,201"
2020-03,"2,140"
2020-04,"1,789"
2020-05,"1,966"
2020-06,"2,044"
2020-07,"1,956"
2020-08,"2,080"
2020-09,"2,098"
2020-10,"2,032"
2020-11,"2,043"
2020-12,"2,027"
