Date,Sytem Peak Demand (MW)
2001-01,761
2001-02,747
2001-03,755
2001-04,794
2001-05,777
2001-06,773
2001-07,780
2001-08,778
2001-09,826
2001-10,798
2001-11,799
2001-12,813
2002-01,781
2002-02,760
2002-03,765
2002-04,826
2002-05,842
2002-06,818
2002-07,803
2002-08,793
2002-09,790
2002-10,780
2002-11,790
2002-12,842
2003-01,797
2003-02,792
2003-03,822
2003-04,828
2003-05,837
2003-06,858
2003-07,817
2003-08,832
2003-09,834
2003-10,857
2003-11,897
2003-12,924
2004-01,866
2004-02,839
2004-03,878
2004-04,889
2004-05,896
2004-06,857
2004-07,880
2004-08,889
2004-09,894
2004-10,904
2004-11,952
2004-12,955
2005-01,890
2005-02,892
2005-03,899
2005-04,916
2005-05,928
2005-06,926
2005-07,931
2005-08,919
2005-09,911
2005-10,917
2005-11,943
2005-12,967
2006-01,906
2006-02,929
2006-03,949
2006-04,964
2006-05,968
2006-06,961
2006-07,977
2006-08,951
2006-09,976
2006-10,967
2006-11,984
2006-12,997
2007-01,946
2007-02,969
2007-03,972
2007-04,1007
2007-05,1015
2007-06,1078
2007-07,1090
2007-08,1100
2007-09,1094
2007-10,1088
2007-11,1101
2007-12,1102
2008-01,1067
2008-02,1069
2008-03,1092
2008-04,1112
2008-05,1090
2008-06,1089
2008-07,1105
2008-08,1127
2008-09,1128
2008-10,1174
2008-11,1176
2008-12,1165
2009-01,1122
2009-02,1159
2009-03,1166
2009-04,1193
2009-05,1204
2009-06,1204
2009-07,1201
2009-08,1214
2009-09,1206
2009-10,1215
2009-11,1241
2009-12,1231
2010-01,1219
2010-02,1199
2010-03,1254
2010-04,1308
2010-05,1364
2010-06,1344
2010-07,1323
2010-08,1310
2010-09,1341
2010-10,1333
2010-11,1402
2010-12,1431
2011-01,1324
2011-02,1356
2011-03,1370
2011-04,1431
2011-05,1405
2011-06,1399
2011-07,1398
2011-08,1415
2011-09,1414
2011-10,1435
2011-11,1462
2011-12,1481
2012-01,1391
2012-02,1386
2012-03,1370
2012-04,1447
2012-05,1464
2012-06,1449
2012-07,1440
2012-08,1480
2012-09,1456
2012-10,1489
2012-11,1502
2012-12,1551
2013-01,1463
2013-02,1446
2013-03,1528
2013-04,1548
2013-05,1572
2013-06,1555
2013-07,1543
2013-08,1207
2013-09,1547
2013-10,1520
2013-11,1518
2013-12,1350
2014-01,1331
2014-02,1362
2014-03,1411
2014-04,1499
2014-05,1606
2014-06,1636
2014-07,1511
2014-08,1579
2014-09,1528
2014-10,1517
2014-11,1610
2014-12,1526
2015-01,1476
2015-02,1479
2015-03,1528
2015-04,1630
2015-05,1618
2015-06,1562
2015-07,1584
2015-08,1596
2015-09,1625
2015-10,1705
2015-11,1768
2015-12,1727
2016-01,1693
2016-02,1669
2016-03,1749
2016-04,1846
2016-05,1893
2016-06,1831
2016-07,1819
2016-08,1825
2016-09,1817
2016-10,1823
2016-11,1838
2016-12,1859
2017-01,1804
2017-02,1747
2017-03,1829
2017-04,1914
2017-05,1933
2017-06,1935
2017-07,1869
2017-08,1965
2017-09,1936
2017-10,1953
2017-11,1975
2017-12,1957
2018-01,1892
2018-02,1913
2018-03,1956
2018-04,2044
2018-05,2053
2018-06,2010
2018-07,1972
2018-08,2015
2018-09,1954
2018-10,2026
2018-11,1980
2018-12,2020
2019-01,1873
2019-02,1919
2019-03,1956
2019-04,2116
2019-05,2224
2019-06,2220
2019-07,2129
2019-08,2148
2019-09,2164
2019-10,2224
2019-11,2168
2019-12,2151
2020-01,2066
2020-02,2201
2020-03,2140
2020-04,1789
2020-05,1966
2020-06,2044
2020-07,1956
2020-08,2080
2020-09,2098
2020-10,2032
2020-11,2043
2020-12,2027
